RAJ2000;DEJ2000;logT;logL;AV;logAc;M.S0;logA0;M.P9;logA9;Mm
"h:m:s";"d:m:s";[K];[Lsun];mag;[-];Msun;[yr];Msun;[yr];%
-----------;------------;------;------;------;-----;------;------;------;------;--
05 34 45.57;-05 29 20.92; 3.515;-0.381; 0.546;-2.58; 0.270; 5.960; 0.188; 5.633;99
05 35 18.52;-05 13 38.39; 3.551; 0.070; 3.131;-1.62; 0.382; 5.876; 0.365; 5.200;99
05 35 20.76;-05 21 55.14; 3.585;-0.259; 1.893;-0.58; 0.570; 6.331; 0.595; 6.341;99
05 34 46.62;-05 10 40.50; 3.690; 0.029; 3.082;-1.10; 1.237; 7.110; 1.195; 7.016; 0
05 34 50.44;-05 20 20.36; 3.624;-0.278; 1.396;-1.60; 0.955; 6.838; 0.895; 6.814;99
05 35 54.33;-05 26 44.47; 3.577;-0.267; 1.861;-0.60; 0.510; 6.260; 0.525; 6.234;98
05 35 25.22;-05 15 35.85; 3.542;-0.408; 0.624;-1.80; 0.352; 6.205; 0.320; 6.036;99
05 35 00.82;-05 38 08.01; 3.585;-0.364; 1.158;-0.85; 0.575; 6.484; 0.600; 6.491;98
05 35 12.21;-05 30 32.94; 3.577;-0.328; 1.216;-1.23; 0.512; 6.339; 0.530; 6.307;99
05 34 33.67;-05 14 36.17; 3.569;-0.545; 0.000;-5.00; 0.465; 6.538; 0.475; 6.488;28
05 35 46.24;-05 18 08.46; 3.551;-0.425; 0.613;-5.00; 0.385; 6.264; 0.365; 6.181;99
05 35 31.27;-05 40 10.88; 3.569;-0.556; 0.000;-5.00; 0.465; 6.554; 0.475; 6.516;
05 35 02.50;-05 33 10.01; 3.560;-0.393; 0.875;-1.58; 0.423; 6.284; 0.410; 6.232;99
05 35 38.03;-05 28 21.51; 3.515;-0.517; 0.000;-5.00; 0.265; 6.241; 0.190; 5.801;98
05 34 54.94;-05 17 01.79; 3.624; 0.111; 4.158;-0.46; 0.915; 6.245; 0.960; 6.255;99
05 35 02.44;-05 20 46.52; 3.639;-0.009; 3.363;-0.58; 1.133; 6.608; 1.055; 6.559;99
05 35 54.64;-05 27 07.64; 3.551;-0.554; 0.000;-5.00; 0.382; 6.403; 0.365; 6.267;99
05 35 26.00;-05 25 47.73; 3.585;-0.133; 2.456;-0.93; 0.563; 6.166; 0.585; 6.164;99
05 34 51.75;-05 39 24.03; 3.524;-0.403; 0.679;-5.00; 0.295; 6.150; 0.230; 5.794;
05 35 59.61;-05 29 43.60; 3.706;-0.005; 5.130;-0.14; 1.128; 7.282; 1.090; 7.198;
05 35 13.74;-05 22 22.04; 3.560;-0.079; 3.291;-0.41; 0.423; 5.987; 0.405; 5.799;99
05 35 03.56;-05 29 26.12; 3.543;-0.492; 0.310;-2.36; 0.352; 6.285; 0.320; 6.138;
05 35 10.94;-05 24 48.67; 3.533;-0.200; 1.801;-5.00; 0.322; 6.048; 0.270; 5.652;99
05 36 00.56;-05 23 29.94; 3.609;-0.570; 0.000;-5.00; 0.803; 7.151; 0.755; 7.052; 0
05 35 15.83;-05 22 45.88; 3.533;-0.469; 0.407;-5.00; 0.322; 6.228; 0.275; 5.947;99
05 34 27.05;-05 32 29.15; 3.533;-0.549; 0.000;-5.00; 0.320; 6.296; 0.275; 6.084;
05 35 04.76;-05 26 37.93; 3.577;-0.370; 1.118;-1.73; 0.512; 6.396; 0.530; 6.369;99
05 35 22.62;-05 14 11.30; 3.543;-0.155; 2.153;-1.77; 0.355; 6.021; 0.315; 5.683;
05 35 04.06;-05 26 37.07; 3.551;-0.500; 0.363;-5.00; 0.382; 6.347; 0.365; 6.234;99
05 35 19.94;-05 33 53.54; 3.533;-0.491; 0.337;-5.00; 0.320; 6.242; 0.275; 6.019;99
05 34 30.24;-05 11 48.24; 3.631; 0.000; 4.144;-0.30; 1.020; 6.491; 1.005; 6.481;
05 35 21.66;-05 25 26.43; 3.585;-0.446; 0.817;-1.36; 0.575; 6.591; 0.600; 6.609;94
05 35 00.48;-05 25 14.28; 3.624;-0.407; 3.260;-0.13; 0.923; 7.068; 0.860; 6.968;99
05 35 27.55;-05 28 30.92; 3.505;-0.448; 0.457;-2.60; 0.245; 6.028; 0.157; 5.510;99
05 35 23.52;-05 18 57.18; 3.585;-0.454; 0.754;-5.00; 0.580; 6.615; 0.600; 6.609;99
05 34 52.66;-05 29 45.28; 3.533;-0.356; 1.190;-1.59; 0.325; 6.141; 0.275; 5.841;99
05 35 23.80;-05 23 34.28; 3.569;-0.274; 1.710;-5.00; 0.468; 6.210; 0.465; 6.163;99
05 35 18.95;-05 21 07.87; 3.528;-0.303; 1.448;-1.67; 0.308; 6.103; 0.245; 5.715;99
05 34 45.90;-05 24 55.89; 3.585;-0.404; 1.104;-1.50; 0.575; 6.530; 0.600; 6.537;99
05 35 11.38;-05 19 12.19; 3.569;-0.497; 0.577;-1.90; 0.465; 6.477; 0.475; 6.420;99
05 35 45.58;-05 28 23.01; 3.533;-0.509; 0.375;-5.00; 0.320; 6.263; 0.275; 6.039;95
05 35 17.54;-05 25 42.76; 3.597;-0.357; 1.325;-2.23; 0.678; 6.612; 0.690; 6.608;99
05 34 07.46;-05 13 36.49; 3.543;-0.527; 0.352;-3.26; 0.350; 6.313; 0.320; 6.163;
05 34 59.63;-05 25 39.95; 3.551;-0.480; 0.665;-1.69; 0.382; 6.320; 0.365; 6.221;99
05 34 53.43;-05 10 28.00; 3.524;-0.217; 1.979;-1.27; 0.295; 6.003; 0.225; 5.621;99
05 35 30.27;-05 25 51.55; 3.524;-0.521; 0.312;-5.00; 0.290; 6.250; 0.230; 5.904;99
05 33 57.69;-05 40 06.10; 3.533;-0.347; 1.291;-2.06; 0.325; 6.133; 0.275; 5.830;
05 35 12.15;-05 31 38.80; 3.495;-0.470; 0.402;-2.40; 0.220; 5.840; 0.130; 5.384;99
05 35 29.81;-05 16 06.45; 3.558;-0.305; 1.633;-5.00; 0.415; 6.174; 0.400; 6.184;
05 35 27.89;-05 28 02.06; 3.495;-0.551; 0.000;-5.00; 0.213; 6.231; 0.130; 5.415;99
05 35 30.66;-05 27 16.69; 3.524;-0.475; 0.643;-2.64; 0.292; 6.210; 0.230; 5.871;99
05 35 29.66;-05 31 12.38; 3.551;-0.491; 0.701;-1.88; 0.382; 6.333; 0.365; 6.228;98
05 34 14.20;-05 42 20.98; 3.551;-0.588; 0.193;-5.00; 0.377; 6.438; 0.365; 6.296;
05 35 16.51;-05 40 18.02; 3.533;-0.611; 0.000;-5.00; 0.317; 6.359; 0.275; 6.145;
05 34 31.90;-05 26 36.86; 3.524;-0.601; 0.026;-5.00; 0.287; 6.310; 0.230; 6.013;99
05 35 23.65;-05 23 31.97; 3.639;-0.175; 2.437;-5.00; 1.097; 6.860; 1.015; 6.840;99
05 35 11.87;-05 19 26.23; 3.675; 0.281; 7.145;-0.13; 1.550; 6.624; 1.500; 6.583;99
05 35 15.30;-05 39 56.19; 3.520;-0.357; 1.318;-1.77; 0.285; 6.031; 0.205; 5.697;
05 35 18.59;-05 16 35.24; 3.609; 0.007; 3.448;-1.51; 0.750; 6.217; 0.785; 6.224;99
05 35 04.20;-05 26 27.75; 3.551;-0.343; 1.665;-1.03; 0.385; 6.180; 0.365; 6.081;99
05 35 40.83;-05 32 01.90; 3.522;-0.579; 0.155;-5.00; 0.282; 6.294; 0.220; 5.949;
05 35 37.16;-05 10 29.53; 3.533;-0.579; 0.214;-5.00; 0.317; 6.323; 0.275; 6.104;
05 35 48.17;-05 31 55.74; 3.569;-0.599; 0.271;-2.22; 0.465; 6.617; 0.475; 6.570;99
05 35 47.54;-05 12 18.14; 3.609;-0.651; 0.000;-5.00; 0.765; 7.256; 0.690; 7.172; 0
05 33 52.11;-05 30 28.37; 3.526;-0.597; 0.119;-5.00; 0.295; 6.317; 0.240; 6.037;
05 35 30.80;-05 30 36.19; 3.524;-0.570; 0.262;-2.91; 0.290; 6.288; 0.230; 5.972;99
05 35 35.22;-05 26 54.93; 3.533;-0.563; 0.353;-5.00; 0.317; 6.311; 0.275; 6.094;99
05 34 17.14;-05 38 16.84; 3.530;-0.494; 0.713;-3.00; 0.310; 6.236; 0.260; 5.939;
05 35 17.86;-05 23 03.12; 3.597;-0.555; 0.555;-5.00; 0.702; 6.947; 0.675; 6.906;
